nuts318nm,nuts318cd,year,uk_employees,eu_employees,non_eu_employees,pct_uk_employees,pct_eu_employees,pct_non_eu_employees,employment_shareA,employment_shareB,employment_shareC,employment_shareD,employment_shareE,employment_shareF,employment_shareG,employment_shareH,employment_shareI,employment_shareJ,employment_shareK,employment_shareL,employment_shareM,employment_shareN,employment_shareO,employment_shareP,employment_shareQ,employment_shareR,employment_shareS,median_monthly_pay,pct_employed,pct_unemployed,pct_econ_inactive,pct_claimants,pop_density,region_area_km2,job_density,pct_single_parent,eu_leave_vote_share,pct_non_english_language,median_house_price,eu_nino_issue,noneu_nino_issue,total_nino
Hartlepool and Stockton-on-Tees,UKC11,2015,110380,2387,2583,0.9569,0.0207,0.0224,0.0011,0.0019,0.1127,0.0069,0.0108,0.0693,0.1473,0.0433,0.0693,0.0173,0.0217,0.0130,0.1040,0.0693,0.0433,0.0867,0.1473,0.0195,0.0152,1534.75,70.50,7.70,23.50,3.36,966.30,308.17,0.68,16.70,0.64,2.55,129218.75,377.00,421.00,798.00
South Teesside,UKC12,2015,95778,1936,2372,0.9570,0.0193,0.0237,0.0017,0.0100,0.0799,0.0020,0.0050,0.0449,0.1398,0.0499,0.0599,0.0175,0.0150,0.0150,0.0699,0.0599,0.0499,0.1199,0.2197,0.0250,0.0150,1471.50,65.50,10.10,27.00,4.04,919.80,308.44,0.67,15.50,0.66,4.35,125524.38,972.00,587.00,1559.00
Darlington,UKC13,2015,48947,1042,1222,0.9558,0.0203,0.0239,0.0029,0.0020,0.0781,0.0000,0.0044,0.0342,0.1367,0.0488,0.0683,0.0586,0.0439,0.0088,0.0878,0.0878,0.0586,0.0683,0.1757,0.0156,0.0195,1526.67,72.60,6.40,22.20,2.88,537.10,197.48,0.85,11.80,0.56,4.20,130500.00,343.00,80.00,423.00
Durham CC,UKC14,2015,164527,3546,3787,0.9573,0.0206,0.0220,0.0052,0.0012,0.1454,0.0007,0.0087,0.0581,0.1454,0.0407,0.0756,0.0116,0.0102,0.0145,0.0523,0.0523,0.0814,0.1163,0.1454,0.0174,0.0174,1559.92,67.40,7.70,26.90,2.21,233.40,2232.70,0.59,15.80,0.58,1.90,110000.00,608.00,505.00,1113.00
Northumberland,UKC21,2015,97576,2183,2469,0.9545,0.0213,0.0242,0.0195,0.0034,0.1270,0.0024,0.0122,0.0488,0.1563,0.0293,0.1074,0.0171,0.0078,0.0146,0.0586,0.0439,0.0342,0.0879,0.1758,0.0293,0.0244,1507.83,74.20,5.50,21.30,1.37,63.20,5078.18,0.63,11.00,0.54,1.10,153062.50,298.00,92.00,390.00
Tyneside,UKC22,2015,384664,8476,9546,0.9552,0.0210,0.0237,0.0003,0.0002,0.0844,0.0012,0.0025,0.0447,0.1366,0.0372,0.0745,0.0472,0.0248,0.0174,0.0695,0.1018,0.0695,0.0869,0.1540,0.0223,0.0248,1556.42,70.50,7.50,23.70,2.82,2097.10,411.13,0.78,14.80,0.55,4.90,139519.78,3035.00,2425.00,5460.00
Sunderland,UKC23,2015,113140,2535,2575,0.9568,0.0214,0.0218,0.0004,0.0000,0.1776,0.0254,0.0059,0.0381,0.1268,0.0507,0.0677,0.0254,0.0423,0.0148,0.0381,0.0677,0.0677,0.0846,0.1353,0.0148,0.0169,1536.67,65.80,8.60,27.90,3.05,2014.90,139.63,0.71,19.10,0.61,2.60,118750.00,598.00,510.00,1108.00
West Cumbria,UKD11,2015,93679,4932,3283,0.9194,0.0484,0.0322,0.0123,0.0010,0.2552,0.0025,0.0069,0.0589,0.1374,0.0343,0.0883,0.0098,0.0079,0.0079,0.0491,0.0442,0.0393,0.0785,0.1276,0.0221,0.0172,1565.67,74.80,5.80,20.40,2.25,114.10,2228.45,0.77,11.90,0.60,8.93,125083.33,723.00,107.00,830.00
East Cumbria,UKD12,2015,121486,6285,4689,0.9171,0.0475,0.0354,0.0189,0.0017,0.0981,0.0023,0.0053,0.0453,0.1736,0.0528,0.1434,0.0151,0.0113,0.0170,0.0453,0.0528,0.0453,0.0830,0.1359,0.0302,0.0226,1430.17,80.90,1.90,17.60,0.91,56.10,4954.02,1.00,5.90,0.53,8.93,172718.88,1032.00,136.00,1168.00
Manchester,UKD33,2015,322224,14819,12308,0.9224,0.0424,0.0352,0.0002,0.0000,0.0372,0.0013,0.0023,0.0172,0.1260,0.0687,0.0859,0.0487,0.0544,0.0229,0.1116,0.1088,0.0458,0.1031,0.1288,0.0200,0.0172,1476.17,62.64,8.08,31.77,2.78,4568.50,115.65,1.05,17.90,0.40,18.30,139237.50,8010.00,4697.00,12707.00
Greater Manchester South West,UKD34,2015,243528,11451,8825,0.9231,0.0434,0.0335,0.0009,0.0003,0.0607,0.0066,0.0085,0.0531,0.1668,0.0341,0.0569,0.0569,0.0379,0.0190,0.1061,0.1365,0.0455,0.0644,0.0948,0.0341,0.0171,1599.33,74.03,6.53,20.74,2.09,2355.30,203.24,0.93,12.80,0.49,9.30,168868.00,3420.00,1537.00,4957.00
Greater Manchester South East,UKD35,2015,175076,7812,6394,0.9250,0.0413,0.0338,0.0012,0.0003,0.1057,0.0158,0.0079,0.0423,0.1902,0.0264,0.0581,0.0370,0.0317,0.0158,0.0634,0.0845,0.0370,0.0845,0.1479,0.0185,0.0317,1588.42,74.61,5.41,21.00,2.22,2226.30,229.19,0.69,16.30,0.53,5.10,151306.25,1160.00,585.00,1745.00
Greater Manchester North West,UKD36,2015,192095,8690,6824,0.9253,0.0419,0.0329,0.0014,0.0002,0.1156,0.0048,0.0084,0.0578,0.1782,0.0482,0.0578,0.0217,0.0169,0.0193,0.0626,0.0819,0.0482,0.0819,0.1493,0.0241,0.0217,1519.33,73.97,5.90,21.32,2.69,1842.20,327.96,0.63,14.60,0.61,7.20,120031.25,2236.00,1120.00,3356.00
Greater Manchester North East,UKD37,2015,200334,9148,7281,0.9242,0.0422,0.0336,0.0014,0.0000,0.1246,0.0021,0.0081,0.0507,0.1799,0.0554,0.0600,0.0277,0.0081,0.0185,0.0554,0.0738,0.0323,0.1015,0.1615,0.0185,0.0208,1508.50,66.68,7.14,28.09,2.65,1581.30,399.93,0.62,15.80,0.58,8.90,127786.25,2853.00,1400.00,4253.00
