industry_code,year,automation_index,total_employment,uk_employees,eu_employees,non_eu_employees,skill_intensity,median_pay,brexit_policy_flag,skilled_worker_visa_eligibility_share,tier2_visa_eligibility_share,vacancies,union_presence_score,pub_sec_high,pub_sec_low,pub_sec_medium,english_requirement_score,female_share,male_share,migrant_share,turnover_rate
A,2015,0.187,191292,151042,37833,2442,1.755,1393.17,0,1,0.05,14665,0.2,0,1,0,0.2,0.335088371,0.664911629,0.210542365,0.076663036
A,2016,0.187,191900,151108,38442,2367,1.76,1447.92,0,1,0.05,15015,0.2,0,1,0,0.2,0.338328127,0.661671873,0.21265416,0.078243877
A,2017,0.187,192308,151858,38258,2200,1.765,1516.58,0,1,0.05,15790,0.2,0,1,0,0.2,0.340014962,0.659985038,0.210382632,0.082107726
A,2018,0.187,193233,153067,37917,2242,1.77,1573.75,0,1,0.05,16695,0.2,0,1,0,0.2,0.345488984,0.654511016,0.207823012,0.086398137
A,2019,0.187,196717,156283,37525,2900,1.775,1636.25,0,1,0.05,16552,0.2,0,1,0,0.2,0.350963379,0.649036621,0.205498602,0.084139626
A,2020,0.187,192292,155925,33300,3083,1.78,1702.33,0,1,0.05,11410,0.2,0,1,0,0.2,0.347807208,0.652192792,0.189209101,0.059336945
A,2021,0.187,196392,161308,29767,5292,1.785,1784.00,1,0.3,0.3,18272,0.2,0,1,0,0.2,0.354390088,0.645609912,0.178512327,0.093036874
A,2022,0.187,200633,163208,27608,9808,1.79,1885.67,1,0.3,0.3,24860,0.2,0,1,0,0.2,0.360712652,0.639287348,0.186492773,0.123907626
A,2023,0.187,200167,162500,25375,12292,1.795,2011.33,1,0.3,0.3,20447,0.2,0,1,0,0.2,0.36560552,0.63439448,0.18817652,0.10214821
A,2024,0.187,203000,164564,24164,14273,1.8,2155.58,1,0.3,0.3,17242,0.2,0,1,0,0.2,0.363594994,0.636405006,0.189341693,0.084934319
B,2015,0.231,56200,51958,2058,2217,2.273,3617.67,0,1,0.15,1000,0.3,0,1,0,0.4,0.16728322,0.83271678,0.076067616,0.017793594
B,2016,0.231,50558,46900,1842,1817,2.276,3507.67,0,1,0.15,1000,0.3,0,1,0,0.4,0.168642511,0.831357489,0.072358662,0.019779133
B,2017,0.231,49367,45867,1833,1658,2.279,3625.67,0,1,0.15,1000,0.3,0,1,0,0.4,0.166926407,0.833073593,0.070729237,0.020256583
B,2018,0.231,49700,46267,1800,1608,2.282,3736.42,0,1,0.15,1000,0.3,0,1,0,0.4,0.165527977,0.834472023,0.068578135,0.020120724
B,2019,0.231,50592,46950,1892,1750,2.285,3875.42,0,1,0.15,1750,0.3,0,1,0,0.4,0.165873555,0.834126445,0.071981552,0.034590677
B,2020,0.231,50092,46383,1892,1825,2.288,3840.92,0,1,0.15,917,0.3,0,1,0,0.4,0.167207792,0.832792208,0.074197305,0.018299784
B,2021,0.231,49183,45592,1833,1783,2.291,3969.25,1,0.5,0.5,1250,0.3,0,1,0,0.4,0.168037809,0.831962191,0.073534395,0.025415114
B,2022,0.231,49075,45142,1900,1992,2.294,4193.75,1,0.5,0.5,2000,0.3,0,1,0,0.4,0.172344514,0.827655486,0.079300391,0.040753948
B,2023,0.231,50133,45792,1983,2367,2.297,4439.58,1,0.5,0.5,2000,0.3,0,1,0,0.4,0.176355435,0.823644565,0.086768617,0.039893617
